"node_id","node_type","layer","label","degree","weighted_degree","in_degree","out_degree","betweenness_centrality","eigenvector_centrality","component_id"
"IHR24-CHG-046","ihr2024_change","update_review_layer","IHR 2024 Article 54 bis — new implementation committee","0","0","0","0","0.0","1e-06","23"
"IHR24-CHG-047","ihr2024_change","update_review_layer","IHR 2024 Annex 1 — modified surveillance/core capacity requirement","1","1.5","0","1","0.0","1e-06","0"
"IHR24-CHG-048","ihr2024_change","update_review_layer","IHR 2024 Annex 1 — modified surveillance/core capacity requirement","1","1.5","0","1","0.0","1e-06","0"
"IHR24-CHG-049","ihr2024_change","update_review_layer","IHR 2024 Annex 1 — modified surveillance/core capacity requirement","1","1.5","0","1","0.0","1e-06","0"
"IHR24-CHG-050","ihr2024_change","update_review_layer","IHR 2024 Annex 1 — modified surveillance/core capacity requirement","1","1.5","0","1","0.0","1e-06","0"
"IHR24-CHG-051","ihr2024_change","update_review_layer","IHR 2024 Annex 1 — modified surveillance/core capacity requirement","2","3.0","0","2","0.0","1e-06","0"
"IHR24-CHG-052","ihr2024_change","update_review_layer","IHR 2024 Annex 1 — modified points of entry requirement","1","1.5","0","1","0.0","1e-06","0"
"IHR24-CHG-053","ihr2024_change","update_review_layer","IHR 2024 Annex 2 — annex amendment","0","0","0","0","0.0","1e-06","24"
"IHR24-CHG-054","ihr2024_change","update_review_layer","IHR 2024 Annex 3 — annex amendment","2","3.0","0","2","0.0","1e-06","0"
"IHR24-CHG-055","ihr2024_change","update_review_layer","IHR 2024 Annex 4 — annex amendment","1","1.5","0","1","0.0","1e-06","0"
"IHR24-CHG-056","ihr2024_change","update_review_layer","IHR 2024 Annex 6 — annex amendment","1","1.5","0","1","0.0","1e-06","0"
"IHR24-CHG-057","ihr2024_change","update_review_layer","IHR 2024 Annex 8 — annex amendment","1","1.5","0","1","0.0","1e-06","0"
"PA_ART01_001","pandemic_agreement_obligation","international_normative_layer","PA Article 1 — national governance","0","0","0","0","0.0","1e-06","25"
"PA_ART01_002","pandemic_agreement_obligation","international_normative_layer","PA Article 1 — equitable access","0","0","0","0","0.0","1e-06","26"
"PA_ART01_003","pandemic_agreement_obligation","international_normative_layer","PA Article 1 — health systems","0","0","0","0","0.0","1e-06","27"
"PA_ART02_001","pandemic_agreement_obligation","international_normative_layer","PA Article 2 — prevention","0","0","0","0","0.0","1e-06","28"
"PA_ART03_001","pandemic_agreement_obligation","international_normative_layer","PA Article 3 — national governance","0","0","0","0","0.0","1e-06","29"
"PA_ART04_001","pandemic_agreement_obligation","international_normative_layer","PA Article 4 — prevention","0","0","0","0","0.0","1e-06","30"
"PA_ART04_002","pandemic_agreement_obligation","international_normative_layer","PA Article 4 — prevention","0","0","0","0","0.0","1e-06","31"
"PA_ART04_003","pandemic_agreement_obligation","international_normative_layer","PA Article 4 — prevention","0","0","0","0","0.0","1e-06","32"
"PA_ART04_004","pandemic_agreement_obligation","international_normative_layer","PA Article 4 — One Health","0","0","0","0","0.0","1e-06","33"
"PA_ART04_005","pandemic_agreement_obligation","international_normative_layer","PA Article 4 — surveillance","0","0","0","0","0.0","1e-06","34"
"PA_ART04_006","pandemic_agreement_obligation","international_normative_layer","PA Article 4 — surveillance","0","0","0","0","0.0","1e-06","35"
"PA_ART04_007","pandemic_agreement_obligation","international_normative_layer","PA Article 4 — health systems","0","0","0","0","0.0","1e-06","36"
"PA_ART04_008","pandemic_agreement_obligation","international_normative_layer","PA Article 4 — prevention","0","0","0","0","0.0","1e-06","37"
"PA_ART04_009","pandemic_agreement_obligation","international_normative_layer","PA Article 4 — preparedness","0","0","0","0","0.0","1e-06","38"
"PA_ART04_010","pandemic_agreement_obligation","international_normative_layer","PA Article 4 — surveillance","0","0","0","0","0.0","1e-06","39"
"PA_ART04_011","pandemic_agreement_obligation","international_normative_layer","PA Article 4 — preparedness","0","0","0","0","0.0","1e-06","40"
"PA_ART04_012","pandemic_agreement_obligation","international_normative_layer","PA Article 4 — prevention","0","0","0","0","0.0","1e-06","41"
"PA_ART05_001","pandemic_agreement_obligation","international_normative_layer","PA Article 5 — One Health","0","0","0","0","0.0","1e-06","42"
"PA_ART05_002","pandemic_agreement_obligation","international_normative_layer","PA Article 5 — One Health","0","0","0","0","0.0","1e-06","43"
"PA_ART05_003","pandemic_agreement_obligation","international_normative_layer","PA Article 5 — One Health","0","0","0","0","0.0","1e-06","44"
"PA_ART05_004","pandemic_agreement_obligation","international_normative_layer","PA Article 5 — health workforce","0","0","0","0","0.0","1e-06","45"
"PA_ART06_001","pandemic_agreement_obligation","international_normative_layer","PA Article 6 — health systems","0","0","0","0","0.0","1e-06","46"
"PA_ART06_002","pandemic_agreement_obligation","international_normative_layer","PA Article 6 — preparedness","0","0","0","0","0.0","1e-06","47"
"PA_ART06_003","pandemic_agreement_obligation","international_normative_layer","PA Article 6 — information and reporting","0","0","0","0","0.0","1e-06","48"
"PA_ART06_004","pandemic_agreement_obligation","international_normative_layer","PA Article 6 — implementation and review","0","0","0","0","0.0","1e-06","49"
